Serial Number,Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating
3833,Sadhu Aur Shaitan,Hindi,6.7,2 h 35 min,None,All
3834,Kadhale Jeyam,Tamil,None,2 h 14 min,2002,13+
3835,Dis.Traction,English,None,31min,2020,13+
3836,Mandya,Kannada,None,2h,2006,NR
3837,Circle Inspector,Kannada,7.3,2 h 9 min,1996,NR
3838,Saagar,Hindi,7.1,2 h 38 min,1985,All
3839,Magnolia,English,8,48min,2019,16+
3840,Uda Aida,Punjabi,6.9,2 h 15 mins,2019,All
3841,Sardar Papa Rayudu,Telugu,5.7,2 h 40 min,1980,NR
3842,Master (Telugu),Telugu,7.1,2 h 57 min,2021,16+
3843,Himghar,Bengali,7.4,1 h 45 min,1996,NR
3844,Dozakh in Search Of Heaven,Hindi,None,1 h 27 min,2015,NR
3845,Jagadeka Veera,Kannada,None,2 h 26 min,1991,NR
3846,Night Moves,English,7.1,1 h 52 min,2013,18+
3847,Bicharak,Bengali,8.2,1 h 33 min,None,NR
3848,Goa Dalli CID 999,Kannada,8,2 h 14 min,1968,NR
3849,Shivaay,Hindi,6.2,2 h 33 min,2016,16+
3850,SPREAD a.k.a. TOYBOY,English,5.8,1 h 33 min,2010,18+
3851,The Super,English,5.7,1 h 25 min,2018,18+
3852,Chilakkottudu,Telugu,6.1,2 h 26 min,1997,NR
3853,Natun Diner Alo,Bengali,6.6,2 h 1 min,1973,NR
3854,Alo,Bengali,9,14min,2018,13+
3855,Asa Mi Tasa Mi,Marathi,7,2 h,2020,All
3856,Amar Akbar Anthony,Telugu,4.3,2 h 27 min,2018,13+
3857,Indhiran Chandhiran,Tamil,7.2,2 h 29 min,1989,All
3858,Hasee Toh Phasee,Hindi,6.8,2 h 14 min,2014,13+
3859,Ee Rojullo,Telugu,5.6,2 h 9 min,2011,All
3860,Hero,Tamil,6.4,2 h 38 min,2019,16+
3861,Police Force : An Inside Story,Hindi,4.5,2 h 16 min,2004,18+
3862,Pikuli,Marathi,None,1 h 55 mins,2013,All
3863,Banarasi Thug,Hindi,6.1,2 h 25 min,None,All
3864,Meghmallar,Bengali,7.8,1 h 32 min,2020,13+
3865,Chal Mera Putt,Punjabi,7.3,2 h 3 mins,2019,All
3866,Brahmachari,Hindi,6.8,2 h 27 min,None,13+
3867,Karm Yudh,Hindi,None,2 h 4 min,1984,13+
3868,Wadi Rum,English,None,33min,2019,13+
3869,Fashion Designer S/o Ladies Tailor,Telugu,5.6,2 h 1 min,2017,18+
3870,Dune,English,6.5,2 h 16 min,1984,13+
3871,Eega,Telugu,7.7,2 h 13 min,2012,13+
3872,Tu Tithe Mee,Marathi,7.6,2 h 32 mins,1998,All
3873,Terminator Salvation,Tamil,6.5,1 h 54 min,2009,13+
3874,Cloudy with a Chance of Meatballs,Tamil,6.9,1 h 29 min,2009,7+
3875,No Man’s Zone,English,None,1 h 45 min,2011,NR
3876,Tejasvini 2,Hindi,None,1 h 29 min,2020,13+
3877,Dada Thakur,Bengali,6.2,2 h 33 min,2017,13+
3878,Bal Ganesh 2 (Kannada),Kannada,None,1 h 13 min,2009,All
3879,Aadhaaram,Malayalam,7.1,2 h 13 min,1992,All
3880,Section 375,Hindi,8.1,2 h 3 min,2019,13+
3881,Overcomer,Tamil,6.7,1 h 59 min,2019,7+
3882,Bodyguard,Telugu,8.1,2 h 28 min,2012,All
3883,The Wizard of H2O,English,None,53min,2019,13+
3884,Mr Joe B. Carvalho,Hindi,3.6,1 h 57 min,2014,13+
3885,Kollura Sri Mookambika,Kannada,None,2 h 17 min,1993,NR
3886,Egaro - The Eleven,Bengali,None,1 h 57 min,2011,All
3887,TE3N,Hindi,7.3,2 h 9 min,2016,13+
3888,Rupkatha Noy,Bengali,6.9,1 h 50 min,2013,NR
3889,Yellow Roads: Italy - Amalfi Coast & Capri,English,None,26min,2020,13+
3890,Dostigiri,Marathi,7.1,2 h 13 mins,2018,13+
3891,Mission Tiger,Hindi,4.8,1 h 23 min,2016,NR
3892,Ek Jhank Ichhe Dana,Bengali,None,1 h 45 min,2017,13+
3893,Downsizing,English,5.7,2 h 15 min,2017,18+
3894,Mar Jaris,English,None,26min,2019,13+
3895,Jumanji: The Next Level,Tamil,6.6,2 h 3 min,2019,13+
3896,Ajanabee,Hindi,6.5,2 h 18 min,1974,All
3897,Bhasan,Bengali,None,13min,2020,13+
3898,Cobb,English,6.4,2 h 8 min,1994,18+
3899,Bal Ganesh And The Pomzom Planet,Hindi,5.2,1 h 19 min,2017,All
3900,Zara Sambhal Ke,Hindi,None,1 h 54 min,2014,NR
3901,Captain Fantastic,English,7.9,1 h 54 min,2016,18+
3902,My Brother Nikhil,Hindi,7.2,1 h 57 min,2005,All
3903,Kaanal Neer,Tamil,6.5,1 h 43 min,2019,All
3904,Vamsha Vriksha,Kannada,8.3,2 h 38 min,1972,NR
3905,Tholakari,Telugu,None,1 h 35 min,2012,NR
3906,Yamam,Malayalam,None,1 h 21 min,1999,NR
3907,Vishwasghat,Gujarati,5.3,2 h 30 min,2014,13+
3908,Prem Priti Bhalobasha,Bengali,None,1 h 56 min,1999,NR
3909,Annabelle Comes Home,Hindi,5.9,1 h 46 min,2019,18+
3910,Battle for Incheon: Operation Chromite,English,6.2,1 h 46 min,2016,18+
3911,The Rhythm Section,English,5.3,1 h 49 min,2020,18+
3912,Marhi Da Deeva,English,7.6,2 h 4 min,1989,NR
3913,King,Kannada,6.8,2 h 2 min,1998,NR
3914,See No Evil 2,English,4.7,1 h 30 min,2014,16+
3915,Kalathur Gramam,Tamil,6.5,2 h 16 min,2017,13+
3916,Heaven and Earth,English,None,2 h 21 min,1994,18+
3917,2014 Rajkaran,Marathi,5.8,1 h 55 mins,2011,All
3918,Vadaladu,Telugu,4.4,2 h 7 min,2019,13+
3919,Bombay,Tamil,8.1,2 h 20 min,1995,All
3920,Mighty Raju: Chakde,Hindi,None,1 h 7 min,2019,All
3921,Kati Patang,Hindi,7.2,2 h 40 min,1971,All
3922,Laboratory,Bengali,5.6,1 h 35 min,2018,13+
3923,Yodha,Punjabi,6.9,1 h 57 mins,2014,13+
3924,Jab Tum Kaho,Hindi,5.6,1 h 32 min,2016,13+
3925,Kadhalum Katru Mara,Tamil,None,2 h 4 min,2007,NR
3926,Prem Tapasya,Hindi,6.1,2 h 17 min,1983,NR
3927,Sabse Bada Rupaiya,Hindi,6.7,2 h 15 min,1976,All
3928,Logan Lucky,Tamil,7,1 h 58 min,2017,16+
3929,Dulhan Hyderabadi,Hindi,None,1 h 53 min,2018,NR
3930,Aappan Pher Milange,Punjabi,4.3,2 h 17 mins,2021,13+
3931,Seethakoka Chilaka,Telugu,7.7,2 h 27 min,1981,All
3932,Kintu Galpo Noy,Bengali,None,1 h 51 min,2018,NR
3933,Operation Diamond Racket,Kannada,7.2,2 h 45 min,1978,NR
3934,Eklavya: The Royal Guard,Hindi,6.1,1 h 47 min,2007,All
3935,1920: Evil Returns,Hindi,4.8,1 h 59 min,2012,18+
3936,Mayabazar - 1957,Kannada,5.8,2 h 55 min,1957,NR
3937,Aggi Barata,Telugu,6.2,2 h 10 min,None,All
3938,The Wild Horse Redemption,English,7.6,53min,2019,13+
3939,Chathurangal,Malayalam,None,25min,2017,All
3940,Dhoom:3,Hindi,5.4,2 h 50 min,2013,13+
3941,Yeti Obhijaan,Bengali,4.2,2 h 6 min,2018,13+
3942,Gravity,Hindi,7.7,1 h 30 min,2013,13+
3943,Raman Raghav 2.0,Hindi,7.4,2 h 8 min,2016,18+
3944,Saaya,Tamil,1.4,2 h 14 min,2017,All
3945,16 VAYATHINILEY,Tamil,8,2 h 12 min,1977,All
3946,Don't Look,English,2.8,1 h 10 min,2019,18+
3947,Mahaprithibi,Bengali,None,1 h 39 min,2018,13+
3948,The Mechanic,Tamil,6.6,1 h 28 min,2011,18+
3949,Janani Janmabhoomi,Kannada,7.9,2 h 22 min,1997,NR
3950,Dhoom:2,Hindi,6.5,2 h 31 min,2006,13+
3951,Mission: Impossible II,English,6.1,2 h 3 min,2000,16+
3952,Kroadh,Hindi,5.1,2 h 26 min,1990,18+
3953,Europe: Coast to Coast,English,None,30min,2020,13+
3954,The Wedding Church in Cana,English,None,26min,2020,13+
3955,Deeper,English,None,52min,2019,13+
3956,Oorukku Nooruper,Tamil,5,1 h 29 min,2003,All
3957,Blackia,Punjabi,6.3,2 h 21 mins,2019,13+
3958,Little Maa Star,Telugu,None,2 h 21 min,1995,NR
3959,Gopaal Krishna,Hindi,6.9,2 h 9 min,1979,All
3960,Mad About Dance,Hindi,5,1 h 57 min,2014,13+
3961,Jeeban Trishna,Bengali,None,2 h 12 min,None,NR
3962,Halla Bol,Hindi,6.1,2 h 22 min,2008,13+
3963,Hera Pheri,Hindi,6.8,2 h 35 min,1976,All
3964,Flight 192,Kannada,5,1 h 25 min,2016,16+
3965,Jab Yaad Kisi Ki Aati Hai,Hindi,6.5,2 h 23 min,None,NR
3966,Annabelle: Creation,Hindi,6.5,1 h 49 min,2017,13+
3967,Nishant Tanwar: Dilli Se Hoon B*@!&#%D,Hindi,7,59min,2018,18+
3968,Bad Boys for Life,Tamil,6.6,2 h 3 min,2020,18+
3969,Bad Ass 2: Bad Asses,English,5.6,1 h 30 min,2014,18+
3970,Iccha Moyee Maa,Bengali,None,2 h 15 min,2017,13+
3971,Aamne Samne,Hindi,6.4,2 h 12 min,1982,All
3972,Prema Katha Chitram 2,Telugu,4.8,2 h 14 min,2019,13+
3973,Underworld,English,7,2 h 1 min,2003,18+
3974,Honey & Bunny in KungFu Challenge,Tamil,None,51min,2018,7+
3975,Dheena,Malayalam,7.1,2 h 38 min,2001,NR
3976,Luv And Kush,Hindi,None,58min,2008,All
3977,Raaz,Hindi,6.3,2 h 7 min,None,18+
3978,Munde Patiale De,Punjabi,5.1,1 h 44 mins,2012,13+
3979,Asura,Telugu,6.6,2 h 4 min,2015,16+
3980,Django Unchained,English,8.4,2 h 45 min,2012,18+
3981,Walk the Walk,English,4.1,1 h 27 min,None,18+
3982,UNTRACEABLE,Tamil,6.2,1 h 36 min,2008,13+
3983,Journey's End,English,6.7,1 h 47 min,2017,16+
3984,Siyavar Ram,Hindi,None,1 h 35 min,2020,All
3985,Laal Kaptaan,Hindi,7.3,2 h 32 min,2019,18+
3986,Boothayyana Maga Ayyu,Kannada,8.3,2 h 25 min,1974,NR
3987,Ishk Actually,Hindi,2.6,1 h 43 min,2013,NR
3988,Ami Achi Sei Je Tomar,Bengali,None,2 h 3 min,2017,13+
3989,Sundari - Bengali,Bengali,None,2 h 20 min,1998,NR
3990,Ujda Chaman,Hindi,6.9,1 h 55 min,2019,13+
3991,Kunju Daivam,Malayalam,7.7,1 h 33 min,2018,All
3992,Sri Lanka By Mini Magic Bus,English,None,1h,2020,13+
3993,U-Turn,Bengali,6.8,2 h 14 min,2018,13+
3994,Transformers: Revenge of the Fallen,Bengali,6,2 h 29 min,2009,13+
3995,Trunk,Kannada,None,2 h 18 min,2018,NR
3996,Nishant Tanwar: Gaadi Tera Bhai Chalayega,Hindi,7.2,1 h 1 min,2019,18+
3997,TRAFFIK,English,6,1 h 36 min,2018,18+
3998,Dr. Seuss' The Lorax,English,6.4,1 h 26 min,2012,7+
3999,Unhinged,Tamil,6,1 h 30 min,2020,18+
4000,Dhund,Hindi,7.2,1 h 57 min,1973,All
4001,Brewster’s Millions,English,None,1 h 18 min,None,13+
4002,Kettiyolaanu Ente Malakha,Malayalam,7.6,2 h 13 min,2019,All
4003,Dusmani,Bengali,None,2 h 28 min,2014,13+
4004,Sradha,Malayalam,3.6,2 h 16 min,2000,NR
4005,The Fountain,English,7.2,1 h 36 min,2006,13+
4006,Jeena - The Endless Love,Bengali,None,1 h 30 min,2009,NR
4007,Kalat Nakalat,Marathi,7.6,2 h 27 mins,1989,All
4008,The Bong Connection,Bengali,6.7,2 h 6 min,2007,NR
4009,THE BLOOD OF NAPLES,English,None,24min,2020,13+
4010,Ek Bechara,Hindi,4.7,1 h 49 min,1972,NR
4011,The Dictator,English,6.4,1 h 23 min,2012,18+
4012,Madhu,Tamil,None,2 h 18 min,2006,All
4013,Thrissur Pooram,Malayalam,5,2 h 32 min,2019,13+
4014,Cool Ganesh,Kannada,None,2 h 2 min,2013,NR
4015,A Question Of Humanity,English,None,50min,2020,13+
4016,THE ROLLING STONES: ROCK OF AGES,English,None,47min,2019,13+
4017,Vadhayiyaan Ji Vadhayiyaan,Punjabi,6.8,2 h 2 mins,2018,13+
4018,Tomake Chai (2017),Bengali,None,2 h 1 min,2017,13+
4019,Angrezi Mein Kehte Hain,Hindi,6.8,1 h 48 min,2018,All
4020,Pather Panchali,Bengali,8.6,2h,None,13+
4021,Asha Jaoar Majhe ( Labour Of Love ),Bengali,8,1 h 22 min,2015,All
4022,American Reunion ('12),English,6.7,1 h 52 min,2012,18+
4023,Happy Hunting,English,5.1,1 h 30 min,2017,18+
4024,Bibaho Obhijaan,Bengali,4.2,1 h 59 min,2019,13+
4025,Bari Tar Bangla,Bengali,6,1 h 46 min,2014,All
4026,Baidurya Rahasya,Bengali,7.3,1 h 49 min,2018,13+
4027,Chhayapath - A Love Story,Bengali,None,2 h 6 min,2013,All
4028,Taan,Bengali,5.1,1 h 46 min,2017,13+
4029,The Interview,English,6.5,1 h 52 min,2014,16+
4030,Garam Masala,Hindi,5.9,1 h 49 min,1972,All
4031,Krishna,Tamil,4.7,2 h 12 min,1996,13+
4032,Zombieland: Double Tap,Hindi,6.7,1 h 39 min,2019,18+
4033,Popeye the Sailor Meets Sindbad the Sailor,English,7.3,16min,None,7+
4034,Ayaash,Hindi,5.2,2 h 13 min,1982,All
4035,Agneepath (1990),Hindi,7.7,2 h 54 min,1990,13+
4036,Roudram,Malayalam,4.7,2 h 34 min,2008,NR
4037,The Window,Hindi,7.4,1 h 58 min,2018,13+
4038,PORTUGAL’S RENAISSANCE: ART IN THE AGE OF DISCOVERY,English,None,52min,2020,13+
4039,The Wall,English,6.2,1 h 29 min,2017,18+
4040,Sema Ragalai,Tamil,None,2 h 21 min,2004,All
4041,Depressive Cop,English,5.8,13min,2016,NR
4042,Bilee Gulabi,Kannada,8.4,1 h 55 min,1981,NR
4043,Yamajaathakudu,Telugu,5,2 h 24 min,1999,NR
4044,Viswasam,Tamil,6.6,2 h 30 min,2019,13+
4045,22G Tussi Ghaint Ho,Punjabi,5.6,1 h 54 mins,2015,13+
4046,The World's First Time Machine,English,7.3,49min,2003,7+
4047,Sri Sri Tarakeshwar,Bengali,None,1 h 46 min,2017,13+
4048,Rajaputra Rahasyam,Telugu,8.6,2 h 7 min,1978,NR
4049,Love for the Game,English,None,45min,2019,13+
4050,Amber,English,None,43min,2020,13+
4051,Bhrashta Tara,Bengali,None,1 h 41 min,2015,All
4052,Abduction Point,Hindi,5.6,1 h 22 min,2016,18+
4053,Jai Sambhasiva,Telugu,None,2 h 29 min,2009,NR
4054,Aalo Chhaya,Bengali,6.9,2 h 33 min,2013,NR
4055,24 Kisses,Telugu,4.8,2 h 2 min,2018,18+
4056,Pankh,Hindi,3.8,1 h 36 min,2010,NR
4057,Ekdin Pratidin,Bengali,7.2,1 h 26 min,1980,NR
4058,ANTARCTICA - TALES FROM THE END OF THE WORLD,English,None,52min,2020,13+
4059,Dream Zindagi,Hindi,None,1 h 33 min,2017,NR
4060,Namak Halaal,Hindi,7.3,2 h 51 min,1982,All
4061,Sankarabharanam,Telugu,8.7,2 h 24 min,1980,NR
4062,Santaan,Hindi,None,2 h 41 min,1993,All
4063,Mantri Gari Viyyankudu,Telugu,7.3,2 h 9 min,1983,NR
4064,The Surrogate,Kannada,7.2,15min,2018,All
4065,Din Jai,Bengali,None,2h,1983,NR
4066,Jewel,English,6.4,1 h 30 min,2001,13+
4067,Dhunki,Gujarati,7.1,2 h 12 min,2019,All
4068,Laila Majnu,Telugu,7.7,1 h 39 min,None,NR
4069,Arzoo,Hindi,7.1,2 h 8 min,None,NR
4070,Saamy,Tamil,7.3,2 h 39 min,2003,13+
4071,Khakee,Hindi,7.4,2 h 53 min,2004,16+
4072,Boobs,English,5.6,57min,2019,13+
4073,Butterflies Of War,Bengali,None,28min,2018,13+
4074,Kasidre Kailasa,Kannada,8.7,2 h 27 min,1971,NR
4075,Bazaar-E-Husn,Hindi,None,2 h 5 min,2014,NR
4076,Chor Bazar,Hindi,5.9,2 h 7 min,None,NR
4077,Notting Hill,Hindi,7.1,2 h 3 min,1999,18+
4078,Krishna Krishna,Hindi,None,2 h 18 min,1986,NR
4079,Aarum Anyaralla,Malayalam,None,2 h 7 min,1978,NR
4080,Sanjana,Hindi,None,1 h 52 min,2018,NR
4081,An Insignificant Man,Hindi,8.7,1 h 37 min,2016,NR
4082,LOVE AND SEX IN THE USA,English,None,58min,2020,13+
4083,Neighbors,English,6.3,1 h 36 min,2014,18+
4084,Thikka,Telugu,None,2 h 18 min,2016,13+
4085,Golmaal 3,Hindi,5.5,2 h 19 min,2010,NR
4086,En Purushan Kuzhandhai Maadhiri,Tamil,5.4,2 h 26 min,2001,13+
4087,Final Destination 5,Tamil,5.8,1 h 31 min,2011,18+
4088,Adventures Of Jojo,Bengali,None,2 h 2 min,2019,13+
4089,Khawto,Bengali,6.5,2 h 11 min,2017,13+
4090,Kem Chho,Gujarati,7.5,2 h 21 min,2020,13+
4091,Sesh Sanghat,Bengali,None,2 h 27 min,2009,13+
4092,UNTRACEABLE,Telugu,6.2,1 h 36 min,2008,13+
4093,Dear Maya,Hindi,5.7,2 h 10 min,2017,All
4094,Parinda,Hindi,7.9,2 h 34 min,1989,18+
4095,Lakshya,Hindi,7.9,2 h 57 min,2004,13+
4096,Annamalai,Tamil,7.7,2 h 43 min,1992,All
4097,Ape,English,2.5,1 h 25 min,2012,NR
4098,Saathiya,Hindi,6.8,2 h 18 min,2002,All
4099,Baa Tussi Great Chho,Gujarati,None,1 h 46 min,2016,All
4100,The Kings of Summer,English,7.1,1 h 34 min,2013,18+
4101,88 Minutes,English,5.9,1 h 46 min,2008,16+
4102,Guvva Gorinka,Telugu,4.7,1 h 57 min,2020,13+
4103,The Landlord,Gujarati,5.4,1 h 26 min,2017,16+
4104,English Ammayi,Telugu,None,2 h 7 min,1999,NR
4105,DSP DEV,Punjabi,5.9,2 h 21 mins,2019,13+
4106,Gurudu,Telugu,7.8,2 h 7 min,2013,13+
4107,Purani Haveli,Hindi,5.2,2 h 17 min,1989,18+
4108,Mumbai Pune Mumbai 3,Marathi,6.3,2 h 19 mins,2018,13+
4109,How to Train Your Dragon 2,Hindi,7.8,1 h 41 min,2014,All
4110,Kalyanaraman,Tamil,6.5,2 h 14 min,1979,All
4111,Boys On the Side,English,None,1 h 56 min,1995,13+
4112,Dongala Mutha,Telugu,3.8,1 h 29 min,2011,All
4113,The Babysitter's Seduction,English,5.6,1 h 31 min,1999,16+
4114,Team 5,Malayalam,4.3,1 h 39 min,2017,All
4115,Naalaiya Manithan,Tamil,6.1,2 h 13 min,1989,NR
4116,Chitti Chellelu,Telugu,7.4,2 h 49 min,1970,All
4117,Air Strike,Tamil,3.2,1 h 37 min,2018,18+
4118,Darling Darling,Malayalam,6.8,2 h 35 min,2000,NR
4119,Whiskey Tango Foxtrot,English,6.6,1 h 51 min,2016,NR
4120,Survivor,Hindi,5.6,1 h 36 min,2015,13+
4121,SP Chauhan: A Struggling Man,Hindi,5.5,2 h 8 min,2019,All
4122,Atanka,Bengali,8.7,1 h 46 min,2018,13+
4123,Kashmir Ki Kali,Hindi,7.2,2 h 32 min,None,All
4124,Balgandharva,Marathi,7.3,2 h 4 mins,2011,All
4125,Nellikka,Malayalam,6.2,2 h 12 min,2015,13+
4126,Rama Chakkani Seetha,Telugu,6,2 h 1 min,2019,13+
4127,HAPPILY N'EVER AFTER 2: SNOW WHITE,English,3.8,1 h 11 min,2009,All
4128,Dil Bole Hadippa,Hindi,4.5,2 h 26 min,2009,13+
4129,Memoirs of an Invisible Man,English,6,1 h 39 min,1992,16+
4130,Dinoshark,Tamil,3.1,1 h 26 min,2010,16+
4131,Sakthi,Malayalam,3.5,2 h 18 min,1980,NR
4132,Punnaram Cholli Cholli,Malayalam,5,2 h 17 min,1985,NR
4133,Yajaman,Tamil,6.6,2 h 33 min,1993,All
4134,Revolutionary Road,English,7.3,1 h 58 min,2008,18+
4135,Aalapiranthavan,Tamil,None,2 h 11 min,1987,NR
4136,Cave of Forgotten Dreams,English,7.4,1 h 30 min,2010,7+
4137,Namanu Rruni - Albatross Island,English,None,14min,2020,13+
4138,Hamsageethe,Kannada,None,1 h 56 min,1975,NR
4139,Hate Story 4,Hindi,3.3,2 h 7 min,2018,18+
4140,Bogus,English,5.4,1 h 51 min,1996,16+
4141,Transformers: Dark of the Moon,Hindi,6.2,2 h 34 min,2011,13+
4142,The Billion Dollar Bust,English,6.6,41min,2018,13+
4143,Mijaaj,Gujarati,6.2,1 h 59 min,2018,NR
4144,Aabhaasam,Malayalam,5.9,1 h 54 min,2018,13+
4145,Donga Donga,Telugu,6.3,2 h 30 min,1993,NR
4146,Soolam,Tamil,None,2 h 10 min,1978,NR
4147,L7,Telugu,4.6,2 h 3 min,2016,18+
4148,Rendu Rellu Aaru,Telugu,6.7,2 h 4 min,2017,All
4149,Guest iin London,Hindi,5.4,2 h 7 min,2017,13+
4150,Cannabis To Save My Life,English,None,54min,2020,13+
4151,Honor Project,English,None,1 h 5 min,2020,13+
4152,Wrath of the Titans,English,5.7,1 h 39 min,2012,13+
4153,T-Men,English,7,1 h 32 min,None,13+
4154,Red Velvet Cake,Bengali,None,9min,2020,13+
4155,K.G.F: Chapter 1 (Tamil),Tamil,8.2,2 h 34 min,2018,13+
4156,Chandavalliya Thota,Kannada,8.5,2 h 27 min,1964,NR
4157,Life Beyond Earth,English,7.7,47min,2020,13+
4158,Malliswari,Telugu,6.7,2 h 31 min,None,All
4159,Golmaal,Marathi,7.4,2 h 17 mins,2006,All
4160,A Simple Favor,English,6.8,1 h 56 min,2018,18+
4161,Me Pan Sachin,Marathi,6.6,2 h 15 mins,2019,13+
4162,Vadakkunokkiyantram,Malayalam,8.3,2 h 1 min,1989,All
4163,Bloodsport,English,6.8,1 h 32 min,1988,18+
4164,Yadurmane Ganda Pakkadmane Hendthi,Kannada,None,2 h 15 min,1992,NR
4165,Sholay,Hindi,8.2,3 h 15 min,1975,All
4166,Edge of Darkness,English,6.6,1 h 56 min,2010,18+
4167,Pyaasa,Hindi,8.5,2 h 23 min,None,All
4168,Badal,Hindi,4.9,2 h 46 min,2000,18+
4169,Pujarini,Bengali,7.1,2 h 15 min,1984,NR
4170,Hingsha,Bengali,None,2 h 2 min,1997,NR
4171,Rayalaseema Ramanna Chowdary,Telugu,6.4,2 h 51 min,2000,NR
4172,Savaari,Telugu,5.7,2 h 20 min,2020,13+
4173,Gone Girl,English,8.1,2 h 29 min,2014,18+
4174,Ebong Tumi Aar Ami,Bengali,None,2 h 18 min,2018,13+
4175,Annabelle: Creation,Tamil,6.5,1 h 49 min,2017,13+
4176,The Courier,Hindi,4.8,1 h 39 min,2019,18+
4177,Rush Hour 2,English,6.6,1 h 30 min,2001,18+
4178,Peas Pulao,Bengali,None,3min,2020,13+
4179,Switch,English,5.8,1 h 43 min,1991,18+
4180,Prathighatana,Telugu,7.7,1 h 57 min,2014,13+
4181,Projapoti Biskut,Bengali,6.6,1 h 55 min,2018,13+
4182,Balls Out: Gary the Tennis Coach,English,None,1 h 32 min,2009,18+
4183,"Ears, Eyes and Throats: Restored Classic and Lost Punk Films 1976-1981",English,None,1 h 45 min,2019,NR
4184,Kirayadar,Hindi,6.4,1 h 52 min,1986,All
4185,Prague,Hindi,6.7,1 h 46 min,2013,13+
4186,2.0 (Tamil),Tamil,6.3,2 h 20 min,2018,13+
4187,Living Wild,English,None,54min,2020,13+
4188,CHAALBAAZ,Bengali,7.1,2 h 37 min,2018,13+
4189,Barbadhu,Bengali,None,1 h 29 min,2017,13+
4190,Gauraiya,Hindi,7,1 h 45 min,2015,NR
4191,Ek Rishtaa - The Bond Of Love,Hindi,5.1,2 h 53 min,2001,All
4192,Guilty Bystander,English,6.1,1 h 32 min,None,NR
4193,Cuban Colony,Malayalam,5.3,2 h 7 min,2018,13+
4194,A Beautiful Day in the Neighborhood,Telugu,7.3,1 h 48 min,2019,All
4195,Khaidi,Telugu,8.5,2 h 27 min,1983,NR
4196,Gentleman,Hindi,7.1,1 h 59 min,1989,All
4197,Raakhi,Hindi,None,2 h 25 min,None,NR
4198,Poonthenaruvi,Malayalam,None,2 h 17 min,1994,NR
4199,Kaagaz Ke Fools,Hindi,3.8,1 h 49 min,2015,13+
4200,Angrakshak,Hindi,4.4,2 h 2 min,2006,All
4201,Grown Ups 2,Hindi,5.4,1 h 40 min,2013,18+
4202,Saheb,Gujarati,5.7,2 h 18 min,2019,13+
4203,Yamudiki Mogudu,Telugu,7.3,2 h 33 min,2012,13+
4204,Rasika,Kannada,None,1 h 55 min,1994,NR
4205,Prostitution: The Price of Tears,English,None,52min,2020,13+
4206,Jaguar (Hindi),Hindi,5.4,1 h 51 min,2016,13+
4207,Aradhana,Hindi,7.6,2 h 44 min,None,All
4208,Riddle of the Skies,English,7.5,1 h 36 min,2010,13+
4209,Golkeri,Gujarati,6.9,2 h 7 min,2020,13+
4210,Madhab Majhir Kalo Chashma,Bengali,None,44min,2005,NR
4211,Shola Aur Shabnam,Hindi,6.5,2 h 15 min,None,NR
4212,Andaaz,Hindi,5.3,2 h 26 min,2003,13+
4213,Lockdown,English,None,1 h 34 min,1991,16+
4214,Mella Thirandhathu Kadhavu,Tamil,7.1,2 h 22 min,1986,All
4215,Surakksha,Hindi,7.3,2 h 12 min,1979,NR
4216,Silly Fellows (Hindi),Hindi,None,1 h 48 min,2020,All
4217,Mission: Impossible Ghost Protocol,Telugu,7.4,2 h 12 min,2011,13+
4218,How to Murder a Millionaire,English,5.4,1 h 30 min,1990,16+
4219,"Blood, Sand & Gold",English,3.8,1 h 24 min,2017,18+
4220,Love,Bengali,6.1,1 h 56 min,2017,13+
4221,Ninaivu Chinnam,Tamil,6.6,2 h 28 min,1989,NR
4222,Suprabhatha,Kannada,None,2 h 1 min,1989,NR
4223,Pampa,Bengali,None,1 h 48 min,1979,NR
4224,Puguntha Veedu,Tamil,None,2 h 11 min,1972,NR
4225,Detective Dee: Mystery of the Phantom Flame,Hindi,6.6,1 h 56 min,2011,13+
4226,Kala Viplavam Pranayam,Malayalam,4.6,2 h 1 min,2018,All
4227,Hashar - A Love Story,Punjabi,6.7,2 h 54 mins,2008,NR
4228,100,Malayalam,6.5,2 h 16 min,2019,13+
4229,Grahasti,Hindi,6.8,2 h 34 min,None,All
4230,Freedom,Malayalam,6.5,2 h 13 min,2004,NR
4231,Khancha,Bengali,5.9,2 h 25 min,2013,NR
4232,East Side Sushi,English,7.1,1 h 46 min,2015,7+
4233,Chotushkone,Bengali,8.2,2 h 27 min,2017,13+
4234,Raj Hath,Hindi,6.3,2 h 16 min,None,NR
4235,Audition,Bengali,7.2,16min,2018,13+
4236,Bal Ganesh (Marathi),Marathi,None,1 h 42 mins,2007,All
4237,Unpaused,Hindi,7.1,1 h 53 min,2020,16+
4238,Premji Rise Of A Warrior,Gujarati,7.7,1 h 59 min,2015,13+
4239,Boeing Boeing,Malayalam,6.5,2 h 30 min,1985,NR
4240,Rithubhedam,Malayalam,7,2 h 11 min,1987,NR
4241,Sahib Bibi Aur Ghulam,Hindi,8.3,2 h 33 min,None,All
4242,Hendathiyobbalu Maneyolagiddare,Kannada,None,1 h 53 min,2005,NR
4243,Rakhe Hari Mare Ke,Bengali,None,2 h 28 min,2017,13+
4244,Love Training,Kannada,6.4,1 h 57 min,1993,NR
